Question,Answer
"Get money, lose weight, be powerful. ",Just be powerful anyways
Upper limit,Tolerance for happiness tolerance for feeling positive emotions or experiencing positive events. gay hendrix. X amount of uncertainty. Potential joy in possibilities-fear of unknown
Self sabotage,Attempt to regulate or adjust your expectations to fit within your upperlimit
Foreign is uncomfortable or exciting,Until familiar
We are programed to seek equilibrium ,"So even though I'm looking for greatness, my mind tries to project a reality based on preset beliefs to knock me down or stay the course.  Dear abi. Make rate of change the focus, not static states"
See clearly.  What is the issue,Decide how to act.  It's the lingering that is killing you
Practice non judgement by non assumption ,Basically give them the benefit of the doubt
Pride,Is often involved in our worst decisions.  We are making mistakes on how we think other people see us.  Like we can't admit failure or lack and change it because we dont want to be seen as wrong.  Be wrong and be ok
How do you know you are in a rut,"Indicators: fears abt what ifs 
Overwhelmed
Lack of investment
Anticipating bad outcomes and unpleasant social interactions
Thinking about how others view you
Feeling uncomfortable with behaviors
Trying to prove
Trying to prove your value
"
Evaluate fear,Is this the actual thing or the thing adjacent
The goal of emotional regulation or how I want to live my life.,"Don't wait until you get to a breaking point to make changes
Define health or success then make it easy.  Pay attention to indicators"
Being busy,Is a time management issue.  Get comfortable with simplicity. Auto mate.  Organize
Don't embrace delusion,But mayyyybe do if you know it's helping.  The awareness of it and tracking indicators helps you see when it's no longer helpful
How to respond to attack,Absorb and metabolize 
Deep wells of grief,Cause a need for validation.
"The ""water"" in your body ",Needs to go
Pursuit of catharsis,Is something I can do myself.  Catharsis is something you give yourself. It's a myth that you need someone else to give it to you. 
Dear abi: have your breakdowns in private, Turn off the water valve at work as long as you turn it back on at home and let it flow. Process emotion in private.  With yourself.  
Faith or fear,"Evaluate emergency lights, trust the still small voice and quiet confidence"

Question,Answer
Maturity continuum,"Dependence
Independence
Interdependence "
Habit 1: Be proactive,An awareness you are the programmer.  Underlying principle: take responsibility for your life.
Best way to predict the future ,To create it
Life is a product of values and decisions,Not emotions and conditions. Start at values and decisions and they will change your emotions and conditions
Circle of influence vs. Circle of concern,"Concern: things that concern me
Influence: things I can change and affect"
Habit 2: begin with the end in mind,Underlying principle: personal leadership. Design the program
Habit 4 win win,Increase the pie
Habit 5,Seek first to understand and then to be understood
Habit 6,Whole is greater than the parts. The part between the parts is the important part. 

Question,Answer
Leadership,"Every moment you have the ability
By being the most you
Commiting to mastery
Make a difference right where you're planted
Refusing to let negativity hijack awe
Withstand the test of time
Make your Dominant pursuit the heartfelt release of magic
Full on expression of what's possible
 "

Question,Answer
How can writing help,I think when retraining the mind.  Writing the code and then seeing it communicates to other parts of your brain.  Like parts of your brain not connected to concious thought.  Parts of your brain that cant.....think? Or hear thoughts?  But that can read.    So then also read outloud what you write.

Question,Answer
Information and truth,Not connected. Not types of each others.
Dna,DNA creates new realities.  It does not describe any reality past or present
Role of information in history,It connects.  It's like you cannot know anything but you can make connections.  
Story,Is a hub where anyone who hears the story is now connected to anyone else who hears the same story without ever knowing them
