Question,Answer
"Data Data Data, I cannot make bricks without clay",Sir Arthur Conan doyle data is the clay you use to make building blocks
What is data analysis ,"The collection, transformation, and organization of data in order to draw conclusions and inform decisions "
What are the 6 steps of data analysis ,"The six steps of the data analysis process that you have been learning in this program are: ask, prepare, process, analyze, share, and act"
What is 1. Ask,"Assessing and gathering information in order to design the structure of the project or analysis
In the ask phase, you’ll work to understand the challenge to be solved or the question to be answered. It will likely be assigned to you by stakeholders. As this is the ask phase, you’ll ask many questions to help you along the way. "
What is 2. Prepare?,"Plan: what metrics are you using and ahow will you gather data and get those systems in place. When or how frequently
Next, in the prepare phase, you’ll find and collect the data you'll need to answer your questions. You’ll identify data sources, gather data, and verify that it is accurate and useful for answering your questions. "
What is 3. Process?,"The data analysts also made sure employees understood how their data would be collected, stored, managed, and protected. As planned in step 2. Prepare

The process phase is when you will clean and organize your data. Tasks you perform here include removing any inconsistencies; filling in missing values; and, in many cases, changing the data to a format that's easier to work with. Essentially, you’re ensuring the data is ready before you begin analysis."
What is 4. Analyze,"Discover and document

The analyze phase is when you do the necessary data analysis to uncover answers and solutions. Depending on the situation and the data, this could involve tasks such as calculating averages or counting items in categories so you can examine trends and patterns."
What is 5. Share,"This is the thing you don't do in rec therapy if you don't write papers.  Present information in easy to understand formats and explain conclusions simply
Next comes the share phase, when you present your findings to decision-makers through a report, presentation, or data visualizations. As part of the share phase, you decide which medium you want to use to share your findings and select the data to include. Tools for presenting data visually include charts made in Google Sheets, Tableau, and R. "
What is 6. Act?,"The last stage of the process for the team of analysts was to work with leaders within their company and decide how best to implement changes and take actions based on the findings
Last is the act phase, in which you and others in the company put the data insights into action. This could mean implementing a new business strategy, making changes to a website, or any other action that solves the initial problem. "
What is the origin of statistics ,"Data analysis is rooted in statistics, which has a pretty long history itself. Archaeologists mark the start of statistics in ancient Egypt with the building of the pyramids. The ancient Egyptians were masters of organizing data. They documented their calculations and theories on papyri (paper-like materials), which are now viewed as the earliest examples of spreadsheets and checklists. Today’s data analysts owe a lot to those brilliant scribes, who helped create a more technical and efficient process."
What are the variations and iterations of the data analysis process?,"Emc
SAS
Project based
Big data"
What is EMC's data analysis process,"EMC Corporation's data analytics process is cyclical with six steps:

Discovery

Pre-processing data

Model planning

Model building

Communicate results

Operationalize

EMC Corporation is now Dell EMC. This model, created by David Dietrich, reflects the cyclical nature of typical business projects. The phases aren’t static milestones; each step connects and leads to the next, and eventually repeats. Key questions help analysts test whether they have accomplished enough to move forward and ensure that teams have spent enough time on each of the phases and don’t start modeling before the data is ready. It is a little different from the data analysis process on which this program is based on, but it has some core ideas in common: the first phase is interested in discovering and asking questions; data has to be prepared before it can be analyzed and used; and then findings should be shared and acted on."
"What is SAS's iterative process

","An iterative data analysis process was created by a company called SAS, a leading data analytics solutions provider. It can be used to produce repeatable, reliable, and predictive results: 

Ask

Prepare

Explore

Model

Implement

Act

Evaluate

The SAS model emphasizes the cyclical nature of their model by visualizing it as an infinity symbol. Its process has seven steps, many of which mirror the other models, like ask, prepare, model, and act. But this process is also a little different; it includes a step after the act phase designed to help analysts evaluate their solutions and potentially return to the ask phase again. 

"
"What is Project-based data analytics process 

","A project-based data analytics process has five simple steps:

Identifying the problem

Designing data requirements

Pre-processing data

Performing data analysis

Visualizing data

This data analytics project process was developed by Vignesh Prajapati. It doesn’t include the sixth phase, or the act phase. However, it still covers a lot of the same steps described. It begins with identifying the problem, preparing and processing data before analysis, and ends with data visualization.

"
"What is Big data analytics process

","Authors Thomas Erl, Wajid Khattak, and Paul Buhler proposed a big data analytics process in their book, Big Data Fundamentals: Concepts, Drivers & Techniques. Their process suggests phases divided into nine steps:

Business case evaluation

Data identification

Data acquisition and filtering

Data extraction

Data validation and cleaning 

Data aggregation and representation

Data analysis

Data visualization

Utilization of analysis results

This process appears to have three or four more steps than the previous models. But in reality, they have just broken down what has been referred to as prepare and process into smaller steps. It emphasizes the individual tasks required for gathering, preparing, and cleaning data before the analysis phase.

"
What are the 5 essential skills of a data analyst,"1. Curiosity
2. Context
3. Technical mindset
4. Data design and
5. Data strategy"
5 whys,Ask why 5 times. You're going 5 why's deep to uncover the root cause
Gap analysis,What are the gaps in process.  Where am I now. Where do I want to be.
Predict the future,Just far enough in advance to be right on time
Predict the end,You can't when there are so many starting points
Issue,Topic or subject to investigate
Question,Designed.  DESIGNEDto discover information
Problem ,Obstacle or complication that needs a solution
Oversampling,Increasing the sample size of non dominant groups

Question,Answer
Best chart type to show changes over time,Line
Best chart type to show changes over time,Line
Nightingale coxcomb,Like an exploded pie chart. 1850d.  Shows sizes of pie slices better.  Shows multiple axis per section
Data driven ,Classic grapgs abd charts
Conceptual,"Explain a process, abstract concept or idea. Like an org chart."
Column charts,"use size to contrast and compare two or more values, using height or lengths to represent the specific values.  "
Heat maps,"Similar to bar charts, heatmaps also use color to compare categories in a data set. They are mainly used to show relationships between two variables and use a system of color-coding to represent different values. The following heatmap plots temperature changes for each city during the hottest and coldest months of the year."
Pie charts," circular graph that is divided into segments representing proportions corresponding to the quantity it represents, especially when dealing with parts of a whole."
Pie charts," circular graph that is divided into segments representing proportions corresponding to the quantity it represents, especially when dealing with parts of a whole."
Scatterplots,"show relationships between different variables. Scatterplots are typically used for two variables for a set of data, although additional variables can be displayed."
Does your data have only one numeric variable? ,"If you have data that has one, continuous, numerical variable, then a histogram or density plot are the best methods of plotting your categorical data. Depending on your type of data, a bar chart can even be appropriate in this case. For example, if you have data pertaining to the height of a group of students, you will want to use a histogram to visualize how many students there are in each height range:"
Are there multiple datasets? ,"For cases dealing with more than one set of data, consider a line or pie chart for accurate representation of your data. A line chart will connect multiple data sets over a single, continuous line, showing how numbers have changed over time. A pie chart is good for dividing a whole into multiple categories or parts. An example of this is when you are measuring quarterly sales figures of your company. Below are examples of this data plotted on both a line and pie chart."
Are there multiple datasets? ,"For cases dealing with more than one set of data, consider a line or pie chart for accurate representation of your data. A line chart will connect multiple data sets over a single, continuous line, showing how numbers have changed over time. A pie chart is good for dividing a whole into multiple categories or parts. An example of this is when you are measuring quarterly sales figures of your company. Below are examples of this data plotted on both a line and pie chart."
Are you measuring changes over time? ,"A line chart is usually adequate for plotting trends over time. However, when the changes are larger, a bar chart is the better option. If, for example, you are measuring the number of visitors to NYC over the past 6 months, the data would look like this:"
Do relationships between the data need to be shown? ,"When you have two variables for one set of data, it is important to point out how one affects the other. Variables that pair well together are best plotted on a scatterplot. However, if there are too many data points, the relationship between variables can be obscured so a heat map can be a better representation in that case. If you are measuring the population of people across all 50 states in the United States, your data points would consist of millions so you would use a heat map. If you are simply trying to show the relationship between the number of hours spent studying and its effects on grades, your data would look like this:"
What are the 4 elements of successful  visualization?,"Information: reflects the conclusion you’ve drawn from the data, which you will communicate with visualization

Story: adds meaning to the data and makes it interesting

Goals: makes the data usable and useful

Visual form: creates both beauty and structure"
5 seconds best practice,"Your audience should know what they are observing within five seconds of being shown a data visualization. Visuals should be clear and easy to follow. 

In the five seconds after that, your audience should understand the conclusion your visualization is making—even if they aren’t familiar with your research. 

"
Simplicity best practice,"As long as it’s not misleading, you should visually represent only the data that your audience needs to understand your findings. Including irrelevant data may confuse, distract, or overwhelm your audience."
What are the 9 principles of design?,"Balance
Emphasis 
Movement 
Pattern
Repetition
Proportion 
Rhythm 
Variety
Unity"
