Question,Answer
What are fingerprints,Evidence
What is the cosmic mill,"Why is there a dogFrom the rotary quern to the windmill, the structure of mills remained basically constant - one stone below, a turning stone above - and any structural changes were due to adaptation for new sources of power, and consequent increases in load and yield. The unmoving lower stone would thus represent the earth, while the upper one stands for the revolving dome of the sky. The axial point of this celestial millstone lies far in the north, marked by the Pole Star, the still point of the circling heavens."
Samson,300 foxes
Prossession of the equinoxes,Ancient myths contain scientific information you can follow that something something secrets and codes that lead to
Orion and Osiris and samson,Had dogs associated with order and have belts probably 
After the death of an important figure,Carried over the ocean away.  Then taken and rebirthed
What is the number for,"71.6 
71 or 72
Not only has the psalmist leaned upon God from birth, he even confesses that it is God who took him from his mother's womb (verse 6). This realization of complete dependence on God is no doubt one that grew with the psalmist's experience and age.

Has to do with precession of equinoxes and how long Sirius is absent from the sky.  Ancient group of humans that encoded information in numbers"
"The numbers in myths and buildings cross geographies, cultures, and time",12 30 71 or 72 (71.6) 360
"Orion, Osiris, Indian name meaning time guy? Add Vera cocoa guy","Right hand of God, left hand of God's reflection or vise versa, his belt is a watch. He is a hunter"
Measurements of time,Abis observation: Minutes and seconds are geometric measurements that when applied to the face of a clock show a portion of the whole.  That's what minutes and seconds are.  Like 3 steps removed from actual time.
Egyptian oldest artifacts are,Boats.  See the origin is destruction by water
Egyptians were skilled at this for the purpose of symbolism,Making miniatures and models as representation.  See how shrinking something makes us the God over it looking down on it
How did ancient  builders move stone,Sound.  Dwarves whistle while they worked.  Was the fact they were dwarves intended to highlight the magnitude of the feat.  That dude that crumpled a city with a trumpet.  Who was that? Louis armstrong
Pandoras box,"Empty box in the bottom of a tomb?
Basically the apple in the garden of eden.  Originally was a jar"
Sirius the constellation is binary,"You can't see Sirius b orbiting Sirius a, but Egyptians wrote it.  But we didn't see it until...1800s?"
Dogun tribe in africa,"Know abt Sirius b orbiting Sirius a and even knew the time to come full circle 50years. From what we understand of ancient technology, the only thing that makes sense is inherited knowledge. But we could just be missing something as far as how to know astronomy "
Sothic or Siriano cycle,"Periodic return
Interval of rising after seasonal abscence is 365.25 12 harmonius with equinox.  12 minutes longer than the solar year."
Verbal history accounts are harder to prove than written.  But they preserve meaning much better,"This is because even as the languages evolve people live and die translating generation to generation, taking their parents stories and applying their understanding and retelling it to their childrwn"
