Question,Answer
Disorientation,You were right. You were and are on track.  Religion.  Gearshift Is a part of your religion.
Holotropic,"Hollis: whole
Tropain: toward"
Heliotropic,Plants turning to the sun
You are that,You are godhead
There is no evidence that conciousness comes from a brain,It's like thinking tv programing comes from the physical tv bc the experience or quality of the image is linked to the physical tv box.
Phantalogical,Study of death
Abreaction,"the expression and consequent release of a previously repressed emotion, achieved through reliving the experience that caused it (typically through hypnosis or suggestion)."
Why is public confession a thing,Cathartic? Shows us we are not monsters.  It's definitely a thing though.  Spiritually
Holotropic states are freaky to normal mindedppl,Basically drugs
Socializing after holotropic breathwork,Give yourself time to settle back down into reality.  Don't talk abt it.  So you don't look insane
Why do they call you a mystic and me a psychotic?,A mystic knows whom not to talk to
Qualitative ,More subjective.  Not measurable in numbers.  May require self reporting. Focus groups. Social media surveys. In person interviews.
Study taoism,It appears this is what you have stumbled on anyways 
What is esolyn,Google it
Unexperienced experience,Trauma symptoms source.  Events that are not processed and Integrated and create mental distress and disfunction
Why can't babies remember ,"Their sheathes aren't myleinated
But if conciousness isn't dependent on hardware our souls would hold that experience even if our brains don't. Our bodies would"
What happens in holotropic breathing ,Lowers ph and then Vasorestriction look it up.less co2  Resembles ppl in mountains.  Proof: people in mountains are more spiritual because they have less oxygen....
Allows huxley,Brain acts as a shield to infinity.
Dianetics,"L Ron Hubbard.  Does the result of the application disprove the underlying theory
Potential project: gather the aspect of cult theories I find valuable"

Question,Answer
Abi realization: The thing we are all trying to say all the time. But by nature cannot,Truth so true it is true from every angle
Jewish men on bicycles riding in front of tall buildings,Just the tip.  The first time it was in my hands

Question,Answer
"It's not the critical that counts, the credit belongs to the man in the arena",Theodore Roosevelt 
"5am
4 inner empires","Train cultivate iterate
Mindset
Heartset
Healthset
Soulset
"
The past,"Is a place to learn from
Not a home to live in"
Mindset,Thinking.perspective.
Heartset,Emotions. Pair this with other sets.  Cleansed. Remember the feeling of the restart.
Healthset.,"Physical. Exercise
Uberfit....energy igniting stress dissolving joy expanding"
Soulset,Spiritualitt. Divine within us. N plus one to me relationship. 
Regularly doing hard things ,Is how warriors are born
Boundary how do you widen you lane?,Stay in your lane.  I can improve my own experience and hone my own skill and process. Optimizing one's self is the best way to improve the world
Self discipline and habit,"As you make habits automatic, you free up that self control to create new habits"
How many days to make a habit?,22
Days to automoticity ,66
Days to automoticity ,66
To make a habit last,Never install it alone
20 20 20,"Physical
Reflection
Growth
20 minute pockets.

I like Mines better.  But I could exercise more intensely"
Make sure you sweat,To get rid of cortisol first thing
Bdnf,"Brain derived  norotropic factor
Repairs 
Promotes new growth."
Pre commitment blueprint,Basically plan out your day
For the growth portion of 20 20 20,Pick one topic to thoroughly digest
Dream team,Build a team to outsource tasks to.  For now a system of hacks
Massage,2 90 minute massages a week
Wrap up,Add a work out or nature walk
Super compensation. ,Push past ability.  Then a period of regeneration. Like weight lifting. It's the ratio of work/rest.  That is the key. We grow when resting
Periodization,"Physical training
Periodization is a cyclical method for planning and managing physical training that involves organizing training into specific segments to achieve a goal. It involves varying the intensity, volume, and specificity of training over time. The goal is to improve long-term performance and training. 
 
Historical method
Periodization is a method of categorizing the past into named, quantified, and distinct blocks of time. This is done to understand historical and current processes and the causality that may have linked those events. It originated in the West during the early modern period. 
 
Some concepts in periodization include:
Power: The rate at which work is performed
Ballistic training: Techniques such as jump squats, medicine ball throws, and box jumps
Optimal power load zones: These include jump squat: 0% of 1RM, power clean: 80% of 1RM, squat: 56% of 1RM, and bench press throw: 30‐45% of 1RM 
"
Occilation,"noun: oscillation; plural noun: oscillations
1.
movement back and forth at a regular speed.
""the natural oscillation of a spring""
Similar:
swinging
swing
swaying
swinging from side to side
swinging back and forth
swinging to and fro
vibration
wavering
fluctuation
see-sawing
vacillation
yo-yoing
variation
variation or fluctuation between two extremes of opinion, action, or quality.
""the plot's oscillation between bleak and comic elements""
2.
Physics
regular variation in magnitude or position around a central point."
Rest,I rest to allow all my training to take effect.  Processing unconciously

Question,Answer
Why does m kando work? ,"Sorts mind
You're surrounded only by things you love"
Sort by category not location,You have duplicates then.  All over
"
Tidying is a special event",Once in a life time tidying. And then daily tidying is just putting things away where they go
Effective tidying involves only 2 actions,Discarding and deciding where to store things
Effective tidying involves only 2 actions,Discarding and deciding where to store things
"To truly cherish the things that are important to you, you must first discard those that have our lived their purpose",It is not shameful or wasteful.  If these things had feelings they would certainly  not be happy
Minimalism,"Art movement.  Living style.  Shows up through history, but you have to look for it.  It erases it's own history"
Stoaz,Porch
It,Rewards and reflects any kind of attention given to it
Effective tidying requires 2 actions ,"1. Discard items
2. Where to put items"
How to purge,Choose what to keep not what to get up
Sort by,Category not location
Sophorific,""
R.e.s.t.,Restrictive environmental stimulation  technique.  Floating in a dark pool
Terraception,Awareness of your own body breath and heart beat.
Soporific,Inducing drowsiness. Watching 90 minutes of animal planet. Floating is way more effective
What does sensory deprivation do?,Activates brains insular cortices which helps reduce emotional responses to bodily sensations
Silence,Can be a kind of nothingness
Silence was a verb,That meant a persistent atat3 of being
Judaism:sin sin,God had to retreat into silence by inhalation in order for humanity to create noise
Preternatural,Beyond what is normal or natural

Question,Answer
Ontology,"Study of existence, how to determine if things exist and the classifications of existence"
Relation word: Class,"A set or category of things having some property or attribute in common and differentiated from others by kind, type or quality. Origin: Latin a division of the Roman people"
Relation word: type,""
Relation word: type,""
Alphabetical order," If an author puts angels before God, clearly he doesn't know the nature of things"
