Question,Answer
How do you create a chunk?,Simple recall then varied recall.   Group small portions together. Then to understand it better and reinforce it look top down and bottom up back and forth to see where all it fiits? 
What are neuromodulators,"These are the chemicals that make up your liahona.  So far acetylcholine, dopamine, and serotonin. Dude: They don't tell you about the content of a memory, but about its importance to your future dr Terrence sejnowski they are diffusely projecting"
What does acetylcholine do? ,"Focused learning when you are paying close attention 
Inhibitory or excitatory"
What does dopamine do?,"A motivator.  A reward system in the basal ganglia.  Releases when you get a reward you weren't expecting.  Abi says an ahha. Predicts future rewards, not just current. Part of the unconscious part of your brain"
What does serotonin do?,"It strongly affects your social life.  In monkey troops, highest ranking male has highest serotonin levels.  Lowest ranking male has lowest amt of serotonin. Lower serotonin correlates with higher risk taking.  Violent criminals have very low serotonin levels"
What shape is the amygdala?,Almond shaped abi says tight like unto a dish.  It's where memory and emotions and descision making happens.  Is this your liahona?  Or the vessel informed by the liahona
What is a chunk library,"It's your collection of chunks.  Dear abi: how are you organizing this.  Most easily accessed by diffuse mind, which allows you to make connections between seemingly unrelated chunks"
What is sequential problem solving,A step by step process.  Follows the rules of logic probably.  performed by the focused mode
What is holistic problem solving?,"Diffuse mode, jumps around, uses intuition"
What is the law of serendipity,Lady luck favors the one who tries
What is a chunk,A grouping.  Defined or sorted by use and by meaning.A building block.  Each building block is made up of smaller blocks and can be combined with other blocks to build bigger concepts.   Zoomed all the way in you see a point has no dimenson it is only a thought.  A hypothetical.  That is the most basic building block.  If you zoom alllll the way out you see that eventually a creation grows bigger and wider and DENSER.. until it is totally filled and has lost all meaning and it just the most basic building block a maybe so or a maybe not.
Define interleave,"Mix signals by alternating between them
Place papers in between pages of a book"
Histamine,"Histamine has a major role in the regulation of sleep and the process of forgetting. FORGETTING
The cells that fire histamine are most active during wakefulness and slowest during sleep."
Social neurotransmitter,"Serotonin 
Oxytocin
Vasopressin
Look up push and pull"
"Pain relief, downers","Beta endorphins
Gaba
Look up push pull"
Vasopressin,"Social
As a neurotransmitter, vasopressin deals with neurological functions such as social bonding and memory."

Question,Answer
Taking breaks is key to shifting gears. It's being aware of pushing in the clutch ,"This is a liahona principle concerning the key of switching.  There are really only 2.  Switch from this to that, but by building structures on either side you create the illusion and reality of infinity.   Just be aware"
What are our easiest areas to store memory?,"Visual and spatial.  This is why a space is important in pareto and mind mapping.  Loci method.  Visual, your mind fills in blanks, like type of car or color 9f car.  Does it do the same spatially?"
